"Area Type"," Area"," Area Name"," Standard Occupational Code"," Occupational Title"," Employment","Mean Wage"," Median Wage"," Entry Wage"," Experienced Wage                                                                                                                                                                                                                                             "
"1","36","New York State","21-1018","Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)","22,450","$71,175","$63,758","$47,177","$83,175"
"1","36","New York State","21-1019","Counselors, All Other","610","$73,173","$70,437","$44,423","$87,547"
"1","36","New York State","21-1021","Child, Family, and School Social Workers","27,220","$77,317","$67,207","$53,070","$89,440"
"1","36","New York State","21-1022","Healthcare Social Workers","22,880","$74,448","$69,084","$50,222","$86,560"
"1","36","New York State","21-1023","Mental Health and Substance Abuse Social Workers","14,180","$98,851","$82,408","$57,286","$119,634"
"1","36","New York State","21-1029","Social Workers, All Other","3,190","$80,090","$77,058","$59,548","$90,362"
"1","36","New York State","21-1091","Health Educators","3,850","$66,529","$61,962","$45,155","$77,216"
"1","36","New York State","21-1092","Probation Officers and Correctional Treatment Specialists","4,420","$81,745","$82,231","$61,102","$92,067"
"1","36","New York State","21-1093","Social and Human Service Assistants","40,700","$50,034","$47,461","$37,565","$56,268"
"1","36","New York State","21-1094","Community Health Workers","6,740","$62,930","$58,498","$45,435","$71,678"
"1","36","New York State","21-1099","Community and Social Service Specialists, All Other",,"$70,622","$65,586","$54,498","$78,683"
"1","36","New York State","21-2011","Clergy","9,210","$77,169","$60,583","$41,023","$95,242"
"1","36","New York State","21-2021","Directors, Religious Activities and Education","4,890","$72,628","$56,849","$39,794","$89,044"
"1","36","New York State","21-2099","Religious Workers, All Other",,"$52,716","$51,605","$35,597","$61,275"
"1","36","New York State","23-0000","Legal Occupations","128,570","$177,133","$137,100","$70,550","$230,425"
"1","36","New York State","23-1011","Lawyers","91,440","$213,736","$182,022","$96,637","$272,286"
"1","36","New York State","23-1012","Judicial Law Clerks","900","$121,389","$131,249","$68,130","$148,017"
"1","36","New York State","23-1021","Administrative Law Judges, Adjudicators, and Hearing Officers","1,390","$124,196","$125,905","$90,277","$141,155"
"1","36","New York State","23-1022","Arbitrators, Mediators, and Conciliators","560","$97,239","$93,535","$71,467","$110,126"
"1","36","New York State","23-1023","Judges, Magistrate Judges, and Magistrates","2,460","$179,982","$195,050","$121,405","$209,271"
"1","36","New York State","23-2011","Paralegals and Legal Assistants","28,510","$76,608","$68,194","$52,132","$88,846"
"1","36","New York State","23-2093","Title Examiners, Abstractors, and Searchers","1,530","$72,036","$67,300","$46,591","$84,759"
"1","36","New York State","23-2099","Legal Support Workers, All Other","1,780","$87,920","$74,928","$51,518","$106,121"
"1","36","New York State","25-0000","Education, Training, and Library Occupations","697,470","$84,202","$73,757","$39,503","$106,551"
"1","36","New York State","25-1011","Business Teachers, Postsecondary","8,640","$139,964","$111,659","$65,258","$177,318"
"1","36","New York State","25-1021","Computer Science Teachers, Postsecondary","3,360","$113,376","$102,027","$62,923","$138,602"
"1","36","New York State","25-1022","Mathematical Science Teachers, Postsecondary","4,170","$117,371","$102,158","$63,632","$144,241"
"1","36","New York State","25-1031","Architecture Teachers, Postsecondary","1,660","$148,445","$131,938","$102,631","$171,351"
"1","36","New York State","25-1032","Engineering Teachers, Postsecondary","3,840","$132,592","$126,211","$71,492","$163,142"
"1","36","New York State","25-1041","Agricultural Sciences Teachers, Postsecondary",,"$77,223","$67,504","$49,133","$91,269"
"1","36","New York State","25-1042","Biological Science Teachers, Postsecondary","3,900","$123,138","$102,832","$65,137","$152,138"
"1","36","New York State","25-1051","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","2,060","$120,613","$104,237","$59,404","$151,218"
"1","36","New York State","25-1052","Chemistry Teachers, Postsecondary","1,920","$119,041","$104,370","$68,891","$144,115"
"1","36","New York State","25-1053","Environmental Science Teachers, Postsecondary","620","$117,420","$105,661","$66,757","$142,750"
"1","36","New York State","25-1054","Physics Teachers, Postsecondary","1,140","$122,865","$108,222","$69,703","$149,445"
"1","36","New York State","25-1061","Anthropology and Archeology Teachers, Postsecondary","610","$122,719","$105,831","$69,034","$149,562"
"1","36","New York State","25-1062","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","1,740","$110,751","$99,782","$67,014","$132,621"
"1","36","New York State","25-1063","Economics Teachers, Postsecondary","1,360","$150,705","$138,132","$81,703","$185,207"
"1","36","New York State","25-1064","Geography Teachers, Postsecondary",,"$105,501","$100,617","$62,233","$127,136"
"1","36","New York State","25-1065","Political Science Teachers, Postsecondary","1,460","$139,069","$124,901","$70,030","$173,587"
"1","36","New York State","25-1066","Psychology Teachers, Postsecondary","4,120","$114,941","$101,308","$65,635","$139,594"
"1","36","New York State","25-1067","Sociology Teachers, Postsecondary","1,280","$117,490","$100,997","$66,385","$143,042"
"1","36","New York State","25-1069","Social Sciences Teachers, Postsecondary, All Other","2,210","$111,805","$95,281","$53,158","$141,128"
"1","36","New York State","25-1071","Health Specialties Teachers, Postsecondary","21,020","$162,973","$130,834","$74,416","$207,252"
"1","36","New York State","25-1072","Nursing Instructors and Teachers, Postsecondary","5,380","$101,867","$96,184","$55,230","$125,186"
"1","36","New York State","25-1081","Education Teachers, Postsecondary","5,390","$103,759","$85,535","$54,390","$128,443"
"1","36","New York State","25-1082","Library Science Teachers, Postsecondary",,"$74,786","$64,846","$46,957","$88,699"
"1","36","New York State","25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary","1,050","$98,366","$83,160","$56,277","$119,409"
"1","36","New York State","25-1112","Law Teachers, Postsecondary","2,540","$157,810","$131,916","$74,461","$199,485"
"1","36","New York State","25-1113","Social Work Teachers, Postsecondary","1,770","$108,623","$103,851","$69,101","$128,383"
"1","36","New York State","25-1121","Art, Drama, and Music Teachers, Postsecondary","17,600","$148,447","$112,994","$64,824","$190,258"
"1","36","New York State","25-1122","Communications Teachers, Postsecondary","2,930","$108,525","$86,718","$55,780","$134,897"
"1","36","New York State","25-1123","English Language and Literature Teachers, Postsecondary","6,330","$119,731","$99,573","$62,363","$148,415"
"1","36","New York State","25-1124","Foreign Language and Literature Teachers, Postsecondary","1,610","$111,904","$96,839","$61,320","$137,196"
"1","36","New York State","25-1125","History Teachers, Postsecondary","1,780","$116,893","$103,926","$67,062","$141,808"
"1","36","New York State","25-1126","Philosophy and Religion Teachers, Postsecondary","1,850","$108,830","$97,993","$61,523","$132,484"
"1","36","New York State","25-1192","Home Economics Teachers, Postsecondary",,"$79,083","$81,421","$56,304","$90,474"
"1","36","New York State","25-1193","Recreation and Fitness Studies Teachers, Postsecondary","790","$95,494","$85,024","$50,436","$118,023"
"1","36","New York State","25-1194","Vocational Education Teachers, Postsecondary","4,690","$86,859","$79,074","$54,644","$102,967"
"1","36","New York State","25-1199","Postsecondary Teachers, All Other","2,980","$119,384","$100,893","$55,059","$151,547"
"1","36","New York State","25-2011","Preschool Teachers, Except Special Education","25,180","$51,413","$46,816","$36,057","$59,091"
"1","36","New York State","25-2012","Kindergarten Teachers, Except Special Education","7,720","$87,442","$77,149","$52,710","$104,808"
"1","36","New York State","25-2021","Elementary School Teachers, Except Special Education","103,920","$94,490","$84,721","$58,666","$112,401"
"1","36","New York State","25-2022","Middle School Teachers, Except Special and Career/Technical Education","34,830","$95,159","$84,868","$62,665","$111,407"
"1","36","New York State","25-2023","Career/Technical  Education Teachers, Middle School","1,560","$85,067","$80,157","$53,635","$100,783"
"1","36","New York State","25-2031","Secondary School Teachers, Except Special and Career/Technical Education","76,730","$100,385","$101,041","$63,372","$118,892"
"1","36","New York State","25-2032","Career/Technical Education Teachers, Secondary School","6,260","$89,862","$81,966","$61,216","$104,185"
"1","36","New York State","25-2051","Special Education Teachers, Preschool","4,460","$117,842","$133,389","$60,087","$146,719"
"1","36","New York State","25-2052","Special Education Teachers, Kindergarten and Elementary School","20,500","$92,444","$82,948","$60,762","$108,285"
"1","36","New York State","25-2057","Special Education Teachers, Middle School","7,190","$95,021","$93,766","$62,492","$111,286"
